Timestamp,Speed,X,Y,Z
0 days 00:00:00,22.22222222222222,-3047.725133514932,-2082.208675063056,8.079418745488328e-09
0 days 00:00:00.015000,22.22222222222222,-3051.0,-2083.0,0.0
0 days 00:00:00.079000,22.22222222222222,-3065.023322323749,-2086.453977826625,-4.769465939510633e-08
0 days 00:00:00.239000,23.055555555555554,-3100.432753693568,-2095.1915573322194,-4.515355049290808e-08
0 days 00:00:00.255000,23.099999999999998,-3104.0,-2096.0,0.0
0 days 00:00:00.375000,23.433333333333334,-3132.0,-2102.0,0.0
0 days 00:00:00.439000,23.61111111111111,-3150.039154987603,-2105.952552751082,-1.5301384989544766e-06
0 days 00:00:00.655000,24.11111111111111,-3216.0,-2121.0,0.0
0 days 00:00:00.679000,24.166666666666664,-3221.5115746579404,-2122.29675030393,3.5116309950593095e-06
0 days 00:00:00.840000,25.555555555555554,-3248.1816613369874,-2128.8023835688105,3.789284860832877e-05
0 days 00:00:00.935000,26.08333368888889,-3266.0,-2133.0,0.0
0 days 00:00:01.040000,26.666666666666664,-3292.3766767972807,-2138.950208062164,-0.00012331911970111647
0 days 00:00:01.215000,27.476852148148147,-3343.0,-2151.0,0.0
0 days 00:00:01.335000,28.0324077037037,-3374.0,-2160.0,0.0
0 days 00:00:01.400000,28.333333333333332,-3391.291940773879,-2165.5051210189913,-0.00214122799498568
0 days 00:00:01.655000,30.61011961904762,-3464.0,-2192.0,0.0
0 days 00:00:01.680000,30.833333333333332,-3471.339012107549,-2195.022920040603,0.005437580484796594
0 days 00:00:01.815000,32.00520888888889,-3511.0,-2212.0,0.0
0 days 00:00:01.840000,32.22222222222222,-3518.182500731854,-2215.0312962132184,-0.026455007144259565
0 days 00:00:02.115000,33.17907687516857,-3603.0,-2250.0,0.0
0 days 00:00:02.319000,33.888888888888886,-3687.4337519564137,-2286.080931899093,0.52388721770417
0 days 00:00:02.335000,33.98888888888889,-3692.0,-2288.0,0.0
0 days 00:00:02.595000,35.61388888888889,-3758.0,-2316.0,0.0
0 days 00:00:02.719000,36.388888888888886,-3884.0254612684857,-2372.793834177824,47.89216591327474
0 days 00:00:02.915000,37.2962962962963,-4117.0,-2481.0,139.0
0 days 00:00:03.079000,38.05555555555556,-4175.946342401582,-2515.597838359979,146.58102439399238
0 days 00:00:03.195000,37.48015873015873,-4197.0,-2526.0,139.0
0 days 00:00:03.359000,36.666666666666664,-4257.7542906663,-2539.963583361668,137.88088570459314
0 days 00:00:03.455000,36.13333333333333,-4297.0,-2546.0,139.0
0 days 00:00:03.559000,35.55555555555556,-4335.073020024188,-2549.7706155487326,139.72502382415033
0 days 00:00:03.655000,34.80555555555556,-4368.0,-2552.0,140.0
0 days 00:00:03.879000,33.05555555555556,-4442.816822595947,-2556.747225417685,139.92693894850885
0 days 00:00:03.895000,32.916666666666664,-4448.0,-2557.0,140.0
0 days 00:00:04.039000,31.666666666666664,-4493.536858758289,-2558.5858332992416,141.44860873548387
0 days 00:00:04.175000,30.72222222222222,-4535.0,-2559.0,143.0
0 days 00:00:04.199000,30.555555555555554,-4542.18937911666,-2558.9691155286764,143.1848745048587
0 days 00:00:04.376000,29.15079415873016,-4594.0,-2558.0,144.0
0 days 00:00:04.479000,28.333333333333332,-4623.119629900211,-2557.2137438805057,144.49993706720247
0 days 00:00:04.576000,27.794444799999997,-4650.0,-2556.0,145.0
0 days 00:00:04.679000,27.22222222222222,-4678.123188089254,-2553.833669209181,145.51154095688028
0 days 00:00:04.776000,26.71701422222222,-4704.0,-2551.0,146.0
0 days 00:00:04.956000,25.77951422222222,-4750.0,-2544.0,147.0
0 days 00:00:04.999000,25.555555555555554,-4760.645816361511,-2542.1569698402827,147.2685948035312
0 days 00:00:05.116000,25.555555555555554,-4789.0,-2537.0,148.0
0 days 00:00:05.296000,25.555555555555554,-4834.0,-2528.0,149.0
0 days 00:00:05.319000,25.555555555555554,-4840.945805136779,-2526.3538235526835,149.18989119786826
0 days 00:00:05.559000,26.38888888888889,-4926.958514874322,-2502.9449116358487,152.11611508372187
0 days 00:00:05.635000,26.74074074074074,-4947.0,-2497.0,153.0
0 days 00:00:05.799000,27.5,-4970.506538649142,-2489.0106809203153,154.51010998161095
0 days 00:00:05.875000,27.939814814814813,-4983.0,-2484.0,155.0
